101學年度大專校院名錄,,,,,,
,,,,,,
代碼,學校名稱,縣市名稱,地址,電話,網址,體系別
0001,國立政治大學,[38]臺北市,[116]臺北市文山區指南路二段64號,(02)29393091,http://www.nccu.edu.tw,[1]一般
0002,國立清華大學,[18]新竹市,[300]新竹市東區光復路二段101號,(03)5715131,http://www.nthu.edu.tw,[1]一般
0003,國立臺灣大學,[33]臺北市,[106]臺北市大安區羅斯福路四段1號,(02)33663366,http://www.ntu.edu.tw,[1]一般
0004,國立臺灣師範大學,[33]臺北市,[106]臺北市大安區和平東路一段162號,(02)77341111,http://www.ntnu.edu.tw,[3]師範
0005,國立成功大學,[21]臺南市,[701]臺南市東區大學路1號,(06)2757575,http://www.ncku.edu.tw,[1]一般
0006,國立中興大學,[19]臺中市,[402]臺中市南區國光路250號,(04)22873181,http://www.nchu.edu.tw,[1]一般
0007,國立交通大學,[18]新竹市,[300]新竹市東區大學路1001號,(03)5712121,http://www.nctu.edu.tw,[1]一般
0008,國立中央大學,[03]桃園縣,[320]桃園縣中壢市中大路300號,(03)4227151,http://www.ncu.edu.tw,[1]一般
0009,國立中山大學,[52]高雄市,[804]高雄市鼓山區蓮海路70號,(07)5252000,http://www.nsysu.edu.tw,[1]一般
0012,國立臺灣海洋大學,[17]基隆市,[202]基隆市中正區北寧路2號,(02)24622192,http://www.ntou.edu.tw,[1]一般
0013,國立中正大學,[10]嘉義縣,[621]嘉義縣民雄鄉三興村大學路一段7鄰168號,(05)2720411,http://www.ccu.edu.tw,[1]一般
0014,國立高雄師範大學,[58]高雄市,[802]高雄市苓雅區和平一路116號,(07)7172930,http://www.nknu.edu.tw,[3]師範
0015,國立彰化師範大學,[07]彰化縣,[500]彰化縣彰化市進德路1號,(04)7232105,http://www.ncue.edu.tw,[3]師範
0016,國立陽明大學,[42]臺北市,[112]臺北市北投區立農街二段155號,(02)28267000,http://www.ym.edu.tw,[1]一般
0017,國立臺北大學,[01]新北市,[237]新北市三峽區大學路151號,(02)86741111,http://www.ntpu.edu.tw/chinese/,[1]一般
0018,國立嘉義大學,[20]嘉義市,[600]嘉義市東區鹿寮里學府路300號,(05)2717000,http://www.ncyu.edu.tw,[1]一般
0019,國立高雄大學,[54]高雄市,[811]高雄市楠梓區高雄大學路700號,(07)5919000,http://www.nuk.edu.tw,[1]一般
0020,國立東華大學,[15]花蓮縣,[974]花蓮縣壽豐鄉志學村大學路二段1號,(03)8635000,http://www.ndhu.edu.tw,[1]一般
0021,國立暨南國際大學,[08]南投縣,[545]南投縣埔里鎮大學路1號,(049)2910960,http://www.ncnu.edu.tw,[1]一般
0022,國立臺灣科技大學,[33]臺北市,[106]臺北市大安區基隆路四段43號,(02)27333141,http://www.ntust.edu.tw,[2]技職
0023,國立雲林科技大學,[09]雲林縣,[640]雲林縣斗六市大學路三段123號,(05)5342601,http://www.yuntech.edu.tw,[2]技職
0024,國立屏東科技大學,[13]屏東縣,[912]屏東縣內埔鄉學府路1號,(08)7703202,http://www.npust.edu.tw,[2]技職
0025,國立臺北科技大學,[33]臺北市,[106]臺北市大安區忠孝東路三段1號,(02)27712171,http://www.ntut.edu.tw,[2]技職
0026,國立高雄第一科技大學,[54]高雄市,[811]高雄市楠梓區卓越路2號,(07)6011000,http://www.nkfust.edu.tw,[2]技職
0027,國立高雄應用科技大學,[55]高雄市,[807]高雄市三民區建工路415號,(07)3814526,http://www.kuas.edu.tw,[2]技職
0028,國立臺北藝術大學,[42]臺北市,[112]臺北市北投區學園路1號,(02)28961000,http://www.tnua.edu.tw,[1]一般
0029,國立臺灣藝術大學,[01]新北市,[220]新北市板橋區大觀路一段59號,(02)22722181,http://www.ntua.edu.tw,[1]一般
0030,國立臺東大學,[14]臺東縣,[950]臺東縣臺東市中華路一段684號,(089)318855,http://www.nttu.edu.tw,[1]一般
0031,國立宜蘭大學,[02]宜蘭縣,[260]宜蘭縣宜蘭市神農路一段1號,(03)9357400,http://www.niu.edu.tw,[1]一般
0032,國立聯合大學,[05]苗栗縣,[360]苗栗縣苗栗市恭敬里聯大1號,(037)381000,http://www.nuu.edu.tw,[1]一般
0033,國立虎尾科技大學,[09]雲林縣,[632]雲林縣虎尾鎮文化路64號,(05)6315000,http://www.nfu.edu.tw/main.php,[2]技職
0034,國立高雄海洋科技大學,[54]高雄市,[811]高雄市楠梓區海專路142號,(07)3617141,http://www.nkmu.edu.tw,[2]技職
0035,國立臺南藝術大學,[11]臺南市,[720]臺南市官田區大崎66號,(06)6930100,http://www.tnnua.edu.tw,[1]一般
0036,國立臺南大學,[21]臺南市,[700]臺南市中西區樹林街二段33號,(06)2133111,http://web.nutn.edu.tw/,[1]一般
0037,國立臺北教育大學,[33]臺北市,[106]臺北市大安區和平東路二段134號,(02)27321104,http://www.ntue.edu.tw/,[3]師範
0038,國立新竹教育大學,[18]新竹市,[300]新竹市東區南大路521號,(035)213132,http://www.nhcue.edu.tw/,[3]師範
0039,國立臺中教育大學,[19]臺中市,[403]臺中市西區民生路140號,(04)22183199,http://www.ntcu.edu.tw,[3]師範
0040,國立屏東教育大學,[13]屏東縣,[900]屏東縣屏東市民生路4號之18,(08)7226141,http://web.npue.edu.tw,[3]師範
0042,國立澎湖科技大學,[16]澎湖縣,[880]澎湖縣馬公市六合路300號,(06)9264115,http://www.npu.edu.tw,[2]技職
0043,國立勤益科技大學,[06]臺中市,[411]臺中市太平區坪林里中山路二段57號,(04)23924505,http://www.ncut.edu.tw,[2]技職
0044,國立體育大學,[03]桃園縣,[333]桃園縣龜山鄉文化一路250號,(03)3283201,http://www.ntsu.edu.tw,[1]一般
0046,國立臺北護理健康大學,[42]臺北市,[112]臺北市北投區明德路365號,(02)28227101,http://www.ntunhs.edu.tw/bin/home.php,[2]技職
0047,國立高雄餐旅大學,[61]高雄市,[812]高雄市小港區松和路1號,(07)8060505,http://www.nkhc.edu.tw,[2]技職
0048,國立金門大學,[71]金門縣,[892]金門縣金寧鄉大學路1號,(082)313300,http://www.nqu.edu.tw/cht/index.php,[1]一般
0049,國立臺灣體育運動大學,[19]臺中市,[404]臺中市北區雙十路一段16號,(04)22213108,http://www.ntcpe.edu.tw,[1]一般
0050,國立臺中科技大學,[19]臺中市,[404]臺中市北區三民路三段129號,(04)22195678,http://www.nutc.edu.tw/bin/home.php,[2]技職
1001,東海大學,[19]臺中市,[407]臺中市西屯區臺中港路三段181號,(04)23590121,http://www.thu.edu.tw,[1]一般
1002,輔仁大學,[01]新北市,[242]新北市新莊區中正路510號,(02)29052000,http://www.fju.edu.tw,[1]一般
1003,東吳大學,[41]臺北市,[111]臺北市士林區臨溪路70號,(02)28819471,http://www.scu.edu.tw,[1]一般
1004,中原大學,[03]桃園縣,[320]桃園縣中壢市中北路200號,(03)2659999,http://www.cycu.edu.tw,[1]一般
1005,淡江大學,[01]新北市,[251]新北市淡水區英專路151號,(02)26215656,http://www.tku.edu.tw,[1]一般
1006,中國文化大學,[41]臺北市,[111]臺北市士林區華岡路55號,(02)28610511,http://www.pccu.edu.tw,[1]一般
1007,逢甲大學,[19]臺中市,[407]臺中市西屯區文華路100號,(04)24517250,http://www.fcu.edu.tw/wSite/mp?mp=1,[1]一般
1008,靜宜大學,[06]臺中市,[433]臺中市沙鹿區臺灣大道7段200號,(04)26328001,http://www.pu.edu.tw,[1]一般
1009,長庚大學,[03]桃園縣,[333]桃園縣龜山鄉文化一路259號,(03)2118800,http://www.cgu.edu.tw,[1]一般
1010,元智大學,[03]桃園縣,[320]桃園縣中壢市遠東路135號,(03)4638800,http://www.yzu.edu.tw,[1]一般
1011,中華大學,[18]新竹市,[300]新竹市香山區東香里五福路二段707號,(035)374281,http://www.chu.edu.tw,[1]一般
1012,大葉大學,[07]彰化縣,[515]彰化縣大村鄉學府路168號,(04)8511888,http://www.dyu.edu.tw,[1]一般
1013,華梵大學,[01]新北市,[223]新北市石碇區華梵路1號,(02)26632102,http://www.hfu.edu.tw,[1]一般
1014,義守大學,[12]高雄市,[840]高雄市大樹區三和里學城路一段1號,(07)6577711,http://www.isu.edu.tw,[1]一般
1015,世新大學,[38]臺北市,[116]臺北市文山區木柵路一段17巷1號,(02)22368225,http://www.shu.edu.tw,[1]一般
1016,銘傳大學,[41]臺北市,[111]臺北市士林區中山北路五段250號,(02)28824564,http://www.mcu.edu.tw,[1]一般
1017,實踐大學,[34]臺北市,[104]臺北市中山區大直街70號,(02)25381111,http://www.usc.edu.tw,[1]一般
1018,朝陽科技大學,[06]臺中市,[413]臺中市霧峰區吉峰東路168號,(04)23323000,http://www.cyut.edu.tw,[2]技職
1019,高雄醫學大學,[55]高雄市,[807]高雄市三民區十全一路100號,(07)3121101,http://www2.kmu.edu.tw/front/bin/home.phtml,[1]一般
1020,南華大學,[10]嘉義縣,[622]嘉義縣大林鎮南華路一段55號,(05)2721001,http://www.nhu.edu.tw,[1]一般
1021,真理大學,[01]新北市,[251]新北市淡水區真理街32號,(02)26212121,http://www.au.edu.tw,[1]一般
1022,大同大學,[34]臺北市,[104]臺北市中山區中山北路三段40號,(02)21822928,http://www.ttu.edu.tw,[1]一般
1023,南臺科技大學,[11]臺南市,[710]臺南市永康區尚頂里南臺街1號,(06)2533131,http://www.stust.edu.tw,[2]技職
1024,崑山科技大學,[11]臺南市,[710]臺南市永康區大灣路949號,(06)2727175,http://www.ksu.edu.tw,[2]技職
1025,嘉南藥理科技大學,[11]臺南市,[717]臺南市仁德區二仁路一段60號,(06)2664911,http://www.chna.edu.tw,[2]技職
1026,樹德科技大學,[12]高雄市,[824]高雄市燕巢區橫山路59號,(07)6158000,http://www.stu.edu.tw,[2]技職
1027,慈濟大學,[15]花蓮縣,[970]花蓮縣花蓮市中央路三段701號,(038)565301,http://www.tcu.edu.tw,[1]一般
1028,臺北醫學大學,[32]臺北市,[110]臺北市信義區吳興街250號,(02)27361661,http://www.tmu.edu.tw,[1]一般
1029,中山醫學大學,[19]臺中市,[402]臺中市南區建國北路一段110號,(04)24730022,http://www.csmu.edu.tw,[1]一般
1030,龍華科技大學,[03]桃園縣,[333]桃園縣龜山鄉萬壽路一段300號,(02)82093211,http://www.lhu.edu.tw/,[2]技職
